station_id,date,temp_c,humidity_pct
S001,2026-04-01,24.5,68
S001,2026-04-02,25.1,65
S001,2026-04-03,26.3,62
S001,2026-04-04,27.0,60
S001,2026-04-05,26.8,63
S001,2026-04-06,25.9,67
S001,2026-04-07,24.7,71
S001,2026-04-08,25.5,69
S001,2026-04-09,26.4,64
S001,2026-04-10,27.2,61
S002,2026-04-01,28.1,55
S002,2026-04-02,28.8,52
S002,2026-04-03,29.4,49
S002,2026-04-04,30.1,47
S002,2026-04-05,29.7,51
S002,2026-04-06,28.9,54
S002,2026-04-07,28.2,58
S002,2026-04-08,28.6,56
S002,2026-04-09,29.3,53
S002,2026-04-10,30.0,50
S003,2026-04-01,22.3,75
S003,2026-04-02,22.9,73
S003,2026-04-03,23.5,70
S003,2026-04-04,24.2,68
S003,2026-04-05,23.8,72
S003,2026-04-06,23.1,76
S003,2026-04-07,22.6,79
S003,2026-04-08,23.0,77
S003,2026-04-09,23.7,74
S003,2026-04-10,24.4,71
