station,day,temp_f,humidity
S001,2026-04-01,76.1,0.68
S001,2026-04-02,77.2,0.66
S001,2026-04-03,79.3,0.61
S001,2026-04-04,80.6,0.59
S001,2026-04-05,80.2,0.63
S001,2026-04-06,78.6,0.68
S001,2026-04-07,76.5,0.72
S001,2026-04-08,77.9,0.70
S001,2026-04-09,79.5,0.64
S001,2026-04-10,80.9,0.60
S002,2026-04-01,82.6,0.54
S002,2026-04-02,83.8,0.53
S002,2026-04-03,84.9,0.50
S002,2026-04-04,86.2,0.47
S002,2026-04-05,85.5,0.50
S002,2026-04-06,84.0,0.55
S002,2026-04-07,82.8,0.57
S002,2026-04-08,83.5,0.55
S002,2026-04-09,84.7,0.52
S002,2026-04-10,86.0,0.49
S003,2026-04-01,72.1,0.74
S003,2026-04-02,73.2,0.72
S003,2026-04-03,74.3,0.70
S003,2026-04-04,75.6,0.67
S003,2026-04-05,74.8,0.71
S003,2026-04-06,73.6,0.77
S003,2026-04-07,72.7,0.78
S003,2026-04-08,73.4,0.76
S003,2026-04-09,74.7,0.73
S003,2026-04-10,75.9,0.70
