district_name,year,week_num,confirmed_cases
Bengaluru Urban,2026,12,18
Bengaluru Urban,2026,13,24
Bengaluru Urban,2026,14,29
Bengaluru Urban,2026,15,45
Bengaluru Urban,2026,16,52
Bengaluru Urban,2026,17,50
Bengaluru Rural,2026,12,7
Bengaluru Rural,2026,13,9
Bengaluru Rural,2026,14,11
Bengaluru Rural,2026,15,14
Bengaluru Rural,2026,16,19
Bengaluru Rural,2026,17,22
Mysuru,2026,12,12
Mysuru,2026,13,15
Mysuru,2026,14,18
Mysuru,2026,15,21
Mysuru,2026,16,25
Mysuru,2026,17,30
Dharwad,2026,12,5
Dharwad,2026,13,6
Dharwad,2026,14,8
Dharwad,2026,15,10
Dharwad,2026,16,11
Dharwad,2026,17,13
