district,iso_week,avg_temp_c,total_rainfall_mm
BLR-URBAN,2026-W12,28.4,12.2
BLR-URBAN,2026-W13,29.1,8.5
BLR-URBAN,2026-W14,30.2,15.8
BLR-URBAN,2026-W15,29.8,42.3
BLR-URBAN,2026-W16,28.5,68.5
BLR-URBAN,2026-W17,27.9,72.1
BLR-RURAL,2026-W12,27.8,9.1
BLR-RURAL,2026-W13,28.6,6.2
BLR-RURAL,2026-W14,29.5,14.4
BLR-RURAL,2026-W15,29.2,38.6
BLR-RURAL,2026-W16,27.9,62.8
BLR-RURAL,2026-W17,27.3,71.5
MYS,2026-W12,29.2,8.4
MYS,2026-W13,30.0,5.9
MYS,2026-W14,30.8,18.2
MYS,2026-W15,30.1,35.0
MYS,2026-W16,29.0,55.4
MYS,2026-W17,28.4,68.9
DHARWAD,2026-W12,31.5,3.2
DHARWAD,2026-W13,32.1,4.1
DHARWAD,2026-W14,32.8,11.5
DHARWAD,2026-W15,31.9,22.8
DHARWAD,2026-W16,30.5,41.2
DHARWAD,2026-W17,29.8,52.6
